execution_id,nullify,cardinality,missing_values,not_missing_values,test_size,cardinality_acc
Cimice-202-0,0.0,33,3,30,20.0,0.30303030303030304
Cimice-202-0,0.0,33,3,30,20.0,0.30303030303030304
Cimice-202-1,0.0,86,24,62,20.0,0.11627906976744186
Cimice-202-2,0.0,136,49,87,20.0,0.07352941176470588
7d45cd35-0c20-4614-96a9-d25a8be0361d,0.0,137,49,88,20.0,0.072992700729927
40535375-af1f-4061-8501-c925633ab091,0.0,184,8,176,20.0,0.05434782608695652
Cimice-114-Test4,0.0,46,2,44,20.0,0.21739130434782608
Cimice-119-0,0.0,137,50,87,20.0,0.072992700729927
Cimice-119-1,0.0,274,100,174,20.0,0.0364963503649635
Cimice-119-2,0.0,411,151,260,20.0,0.024330900243309004
Cimice-117-0,0.0,137,50,87,20.0,0.072992700729927
Cimice-117-1,0.0,137,50,87,20.0,0.072992700729927
Cimice-117-2,0.0,137,50,87,20.0,0.072992700729927
Cimice-117-3,0.0,137,50,87,20.0,0.072992700729927
Cimice-200-0,0.0,137,50,87,20.0,0.072992700729927
Cimice-200-1,0.0,137,50,87,20.0,0.072992700729927
Cimice-202-0,0.0,33,3,30,20.0,0.30303030303030304
Cimice-202-1,0.0,86,24,62,20.0,0.11627906976744186
Cimice-202-2,0.0,136,49,87,20.0,0.07352941176470588
eff44770-da41-4187-8ea7-0de265d84dbb,0.0,730,407,323,20.0,0.0136986301369863
6f22c8a7-3053-42ce-98c7-32917df1e9e7,0.0,730,407,323,20.0,0.0136986301369863
e8f2237d-adb9-4b6a-a50a-451943f53df3,0.0,24,12,12,20.0,0.4166666666666667
28c8bec3-a9e5-45b6-9e07-80a49b8c66d0,0.0,24,12,12,20.0,0.4166666666666667
Cimice-113-Test2,0.0,23,1,22,20.0,0.43478260869565216
I-120-12-0,5.0,1164,48,1116,20.0,0.00859106529209622
I-120-12-1,5.0,2604,120,2484,20.0,0.0038402457757296467
I-120-12-2,5.0,4044,192,3852,20.0,0.002472799208704253
I-120-12-3,5.0,5484,264,5220,20.0,0.0018234865061998542
I-120-12-4,5.0,6924,336,6588,20.0,0.0014442518775274408
I-120-12-5,5.0,8364,408,7956,20.0,0.0011956001912960307
I-120-12-6,5.0,12684,624,12060,20.0,0.0007883948281299275
I-122-2-0,5.0,146,6,140,20.0,0.0684931506849315
I-122-3-1,5.0,219,9,210,20.0,0.045662100456621
I-122-4-2,5.0,292,12,280,20.0,0.03424657534246575
I-122-5-3,5.0,365,15,350,20.0,0.0273972602739726
I-122-6-4,5.0,438,18,420,20.0,0.0228310502283105
I-122-9-5,5.0,657,27,630,20.0,0.015220700152207
I-122-12-6,5.0,876,36,840,20.0,0.01141552511415525
I-120-12-0,5.0,1164,48,1116,20.0,0.00859106529209622
I-120-12-1,5.0,2604,120,2484,20.0,0.0038402457757296467
I-120-12-2,5.0,4044,192,3852,20.0,0.002472799208704253
I-120-12-3,5.0,5484,264,5220,20.0,0.0018234865061998542
I-120-12-4,5.0,6924,336,6588,20.0,0.0014442518775274408
I-120-12-5,5.0,8364,408,7956,20.0,0.0011956001912960307
I-120-12-6,5.0,12684,624,12060,20.0,0.0007883948281299275
I-122-2-0,5.0,146,6,140,20.0,0.0684931506849315
I-122-3-1,5.0,219,9,210,20.0,0.045662100456621
I-122-4-2,5.0,292,12,280,20.0,0.03424657534246575
I-122-5-3,5.0,365,15,350,20.0,0.0273972602739726
I-122-6-4,5.0,438,18,420,20.0,0.0228310502283105
I-122-9-5,5.0,657,27,630,20.0,0.015220700152207
I-122-12-6,5.0,876,36,840,20.0,0.01141552511415525
